Country,Year_2023,Year_2022,Year_2021,Year_2020,Year_2019,Year_2018,GDP,Total_Cases,Total_Deaths,Total_Tests,Population,Mortality_Rate
Monaco,86.4,85.7,85.1,86.1,86.2,86.1,9995350547,16178,67,78646,39783,0.1684
Japan,84.7,84.1,84.6,84.7,84.4,84.3,4204494802432,33700970,74501,99984094,125584838,0.0593
"Republic of Korea",84.3,82.7,83.9,83.7,83.7,83.3,1712792854202,31157272,34474,15804065,51329899,0.0672
Andorra,84.0,84.0,82.3,79.4,84.1,84.2,3785067332,47945,165,249838,77463,0.2130
Switzerland,84.0,83.2,83.6,83.1,83.8,83.6,884940402230,4401379,14452,23833472,8773637,0.1647
Canada,82.6,81.2,82.0,81.7,82.3,81.9,2142470914401,4641301,52247,66343123,38388419,0.1361
Chile,81.2,79.2,78.9,79.3,80.3,80.6,335533331669,5283617,64497,49375779,19250195,0.3350
Brazil,75.8,74.9,73.0,74.5,75.8,75.6,2173665655937,37449418,701494,63776166,215353593,0.3257
Georgia,74.5,74.1,71.6,73.5,74.2,74.0,30777833585,1838936,17049,16920079,3968738,0.4296
Azerbaijan,74.4,74.1,71.0,70.3,73.3,73.0,72356176471,831316,10238,7588338,10300205,0.0994
Belarus,74.4,74.4,72.2,72.3,74.3,74.3,71857382746,994037,7118,13646641,9432800,0.0755
Kazakhstan,74.4,73.5,70.1,71.2,73.7,73.4,262641892079,1411559,13848,11575012,19205043,0.0721
Paraguay,73.8,72.3,68.1,72.7,73.7,73.6,42956263544,809489,19913,2657506,7305843,0.2726
"Dominican Republic",73.7,74.2,71.8,72.6,73.1,73.6,121444279314,661008,4384,3740928,11056370,0.0397
Philippines,69.8,69.5,66.7,70.1,69.7,69.8,437146372730,4091854,66444,35004687,112508994,0.0591
Somalia,58.8,53.9,55.7,57.1,57.2,54.8,10968517090,27334,1361,400466,16841795,0.0081
"Central African Republic",57.4,18.8,40.3,50.6,31.5,52.3,2555492085,15368,113,81294,5016678,0.0023
Lesotho,57.4,56.8,54.2,55.1,55.2,54.6,2117962451,34790,723,431221,2175699,0.0332
Chad,55.1,54.5,53.1,53.1,53.0,52.4,13149325362,7698,194,191341,17413580,0.0011
Nigeria,54.5,54.1,53.5,53.1,53.0,52.7,363846332835,266675,3155,5708974,216746934,0.0015
